"filename", "language", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\(auth)\layout.tsx", "TypeScript JSX", 0, 36, 0, 0, 2, 38
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\(auth)\login\page.tsx", "TypeScript JSX", 0, 49, 0, 0, 2, 51
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\(auth)\register\page.tsx", "TypeScript JSX", 0, 67, 0, 0, 2, 69
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\(auth)\verify\page.tsx", "TypeScript JSX", 0, 23, 0, 0, 2, 25
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\audit\[bookingId]\route.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\auth\login\route.ts", "TypeScript", 73, 0, 0, 0, 11, 84
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\auth\logout\route.ts", "TypeScript", 12, 0, 0, 0, 3, 15
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\auth\me\route.ts", "TypeScript", 44, 0, 0, 0, 6, 50
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\auth\register\route.ts", "TypeScript", 71, 0, 0, 0, 13, 84
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\auth\verify\route.ts", "TypeScript", 34, 0, 0, 0, 7, 41
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\bookings\[id]\approve\route.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\bookings\[id]\confirm\route.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\bookings\[id]\route.ts", "TypeScript", 28, 0, 0, 0, 4, 32
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\bookings\[id]\submit\route.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\bookings\route.ts", "TypeScript", 25, 0, 0, 0, 3, 28
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\health\route.ts", "TypeScript", 4, 0, 0, 0, 2, 6
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\venues\[id]\route.ts", "TypeScript", 16, 0, 0, 0, 3, 19
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\venues\available\route.ts", "TypeScript", 13, 0, 0, 0, 2, 15
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\api\venues\route.ts", "TypeScript", 25, 0, 0, 0, 3, 28
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\globals.css", "PostCSS", 0, 0, 22, 0, 5, 27
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\layout.tsx", "TypeScript JSX", 0, 30, 0, 0, 5, 35
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\app\page.tsx", "TypeScript JSX", 0, 64, 0, 0, 2, 66
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\lib\auth.ts", "TypeScript", 25, 0, 0, 0, 7, 32
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\lib\db.ts", "TypeScript", 30, 0, 0, 0, 10, 40
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\lib\models\Approval.ts", "TypeScript", 21, 0, 0, 0, 4, 25
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\lib\models\AuditLog.ts", "TypeScript", 28, 0, 0, 0, 4, 32
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\lib\models\Booking.ts", "TypeScript", 44, 0, 0, 0, 5, 49
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\lib\models\User.ts", "TypeScript", 37, 0, 0, 0, 4, 41
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\lib\models\UserRegistrationRequest.ts", "TypeScript", 30, 0, 0, 0, 4, 34
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\lib\models\Venue.ts", "TypeScript", 32, 0, 0, 0, 4, 36
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\lib\models\VenueBlackout.ts", "TypeScript", 21, 0, 0, 0, 4, 25
"d:\ISE_sem4_lab_proj\SpaceOptiX\src\lib\models\VenuePermission.ts", "TypeScript", 35, 0, 0, 0, 5, 40
"Total", "-", 712, 269, 22, 0, 140, 1143
